name,category,price,image,brand,stock
Kohl Eyeliner Black,Eye,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1144285/N-rybZ6abZW-1144285_1.jpg,Plum,140
Compact Face Powder,Makeup,1999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/949328/yg24n0j36-949328_1.jpg,Sugar,85
Body Lotion Aloe,Skin,1499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/nivea/1018184/0/JlPX5tv7V9-QzDPqC1OaB-4005808369461_1.jpg,Nivea,160
Daily Face Cleanser,Skin,1199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1013452/IJylAJVZE-1013452_1.jpg,Simple,130
Hair Serum Smooth,Hair,1699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1088092/JMIiT09jq-4103040915641_1.jpg,LOreal,70
Night Repair Cream,Skin,3899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1143615/AVUI2b-aS-1143615_1.jpg,Olay,55
BB Cream Natural,Skin,1799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1142443/7mBW5jyKxX-1142443_1.jpg,Garnier,100
Makeup Essentials Combo,Makeup,5599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/resize-w:2360/Tira_Combos/Lakme/TIRA002970/949370_Combo_28/949370_Combo_28-1.jpg,Lakme,25
Face Wash Neem,Skin,799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1108743/8Pi216kdym-8904277803000_1.jpg,Himalaya,150
Cream Blush Pink,Makeup,1399,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1142706/r8FWhbGOIm-1142706_1.jpg,Colorbar,90
  

  name,category,price,image,brand,stock
Hair Repair Shampoo,Hair,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/yrdyTRg5sq--1123613_01.jpg,TRESemme,120
Anti Hair Fall Shampoo,Hair,799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1098551/jqluPDPIrP-1098551_1.jpg,Dove,150
Nourishing Hair Conditioner,Hair,749,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1057006/pdNmcHIUQw-1057006_1.jpg,Matrix,130
Hair Growth Serum,Hair,1299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/Ys0pD8X18-WishCare-Hair-Growth-Serum-Concentrate-(30ml).jpeg,WishCare,90
Keratin Smooth Mask,Hair,1599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/18R_U5_7DY-1177003_1.jpg,Streax,70
Hair Strengthening Oil,Hair,699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1133999/6Ok_-2HugE-1133999_1.jpg,Indulekha,110
Anti Dandruff Shampoo,Hair,649,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/w_ungnI69x-1181912_1.jpg,Head & Shoulders,180
Hair Styling Gel,Hair,499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/984618/xfDLbrVqwY-984618_1.jpg,Set Wet,200
Leave-In Hair Cream,Hair,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1096359/tVSXEO7g-k-1096359_1.jpg,BBlunt,95
Hair Straightening Kit Combo,Hair,2899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/HVIHmT7LR-Streax-Professional-Canvoline-Straightening-Post-Care-Kit-Combo-(3Pcs).jpeg,Streax Professional,40
Curl Defining Cream,Hair,999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/zMrJSYsUTuI-1181914-1.jpg,Curlvana,85
Hair Smoothening Serum,Hair,1199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/984619/8HiZn77EVT-984619_1.jpg,Livon,160
Hair Care Combo Pack,Hair,2499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/resize-w:1160/Tira_Combos/Bblunt/1079343_Combo_6/1079343_Combo_6-1.jpg,BBlunt,35
Onion Hair Oil,Hair,699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/973033/6Kl4ZgGSfq-973033_1.jpg,Mamaearth,140
Hair Volumizing Spray,Hair,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/0wilvyPy3w-1113880_1.jpg,Schwarzkopf,60
Professional Hair Shampoo,Hair,999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1079342/rA0NXzM9n3-1079342_1.jpg,BBlunt,100
Hair Repair Conditioner,Hair,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1154100/LKin6FecZ4-1154100_1.jpg,LOreal,90
Scalp Detox Scrub,Hair,1299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/wvrIqDryOb-1137512_1.jpg,Plum,55
Hair Fall Control Shampoo,Hair,749,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1103001/o3lHjA93r-1103001_1.jpg,Himalaya,170
Protein Hair Mask,Hair,1399,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1156403/zGNPr6rR8t-1156403_1.jpg,Minimalist,65
Ayurvedic Hair Oil,Hair,599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1133998/1yT30xtibV-1133998_1.jpg,Khadi Natural,150



name,category,price,image,brand,stock
Noir Elite Eau De Parfum,Fragrance,6499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1150674/O7VMui236-1150674_1.jpg,Ajmal,40
Oud Royale Eau De Parfum,Fragrance,8999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1146252/j4CS6vrpSf-1146252-1.jpg,Ajmal,35
Velvet Musk Signature,Fragrance,5799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/uXNKhT0Rg-1184003_1.jpg,Armaf,50
Amber Woods Intense,Fragrance,7499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1133336/GZLHjuIl0v-1133336_1.jpg,Lattafa,45
Midnight Oud Luxury Spray,Fragrance,8299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/nqvK9mVFb-1180431_1.jpg,Rasasi,30
Royal Saffron Essence,Fragrance,6999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1112853/NjoabcUR1R-1112853_1.jpg,Ajmal,55
Urban Legend Eau De Toilette,Fragrance,5599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/OsAlZn5M8D-1184767_1.jpg,Jaguar,60
Classic Black Homme,Fragrance,6299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1076286/W9NutfjXco-1076286_1.jpg,Jaguar,50
Gold Edition Pour Homme,Fragrance,5899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1077255/KMzEIxKULc-25929127140_1.jpg,Jaguar,45
Floral Oud Femme,Fragrance,4799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1147674/sKudpm5nM-1147674-1.jpg,Lattafa,40
Rose Musk Supreme,Fragrance,5199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1133632/8IcDD3Q5qu-1133632_1.jpg,Rasasi,35
Nightfall Signature Spray,Fragrance,4499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/SZ3gS8lH76-1182587_1.jpg,Armaf,60
Ajmal Aristocrat EDP,Fragrance,7999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/ajmal/945482/0/-_Dzv201TR-O8umW991d3-945482_1.jpg,Ajmal,30
Spice Amber Intense,Fragrance,5599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1123435/m0z6G0kXd-1123435_1.jpg,Lattafa,40
Oriental Oud Classic,Fragrance,7399,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/997116/uk2SbVxA7g-997116_1.jpeg,Rasasi,25
Urban Nights Cologne,Fragrance,4899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1157885/SngCVBAEx--1157885_1.jpg,Armaf,55
Classic Oud Heritage,Fragrance,6799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1133396/HXTujBJ4LR-8906055793077_1.jpg,Ajmal,35
Velour Homme Intense,Fragrance,5999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1141594/f9go7h_2q5-1141594_1.jpg,Jaguar,45
Bloom Essence Femme,Fragrance,4599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1154258/l_IgFSYte-1154258-1.jpg,Armaf,60
Midnight Desire EDP,Fragrance,5299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/gBWqB9P9xCm-1186279_1.jpg,Lattafa,40
Amber Noir Prestige,Fragrance,8199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/U0wqK17d7o-1186292_1.jpg,Rasasi,30
Pure Oud Collection,Fragrance,8999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1120083/vyFAeMoqpz-1120083_1.jpg,Ajmal,20
Dorall Collection Gold,Fragrance,3999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/dorall-collection/954604/0/AnKJRHbjug-VTLl6QGyDE-1.png,Dorall Collection,70
Jaguar Classic Motion,Fragrance,5699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/jaguar/952671/0/WjVToRZiKA-s8Yl8f3Iv8-1.png,Jaguar,65


name,category,price,image,brand,stock
Beard Growth Oil Advanced,Men,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1123777/CGY9cYI4tn-1123777_1.jpg,Beardo,120
Beard & Moustache Oil,Men,749,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1120610/J5KJV1XQF6-1120610_1.jpg,The Man Company,110
Beard Nourishing Oil,Men,799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/7DzWB8eJg1-1186380_1.jpg,Ustraa,95
Classic Beard Oil,Men,699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/934032/LDdd9iLDVF-934032-1.jpg,Beardo,150
Ayurvedic Beard Oil,Men,649,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/925672/TcTGI50-h9-8904330600041_1.jpg,Khadi Natural,140
Beard Thickening Oil,Men,849,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1130526/u7vvGMbasd-1130526_1.jpg,Man Arden,80
Organic Beard Oil,Men,999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/925676/hwizv6To1-925676_1.jpg,Soulflower,85
Onion Beard Oil,Men,699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1087826/KNqRk5h2f-8904358601259_1.jpg,Mamaearth,130
Beard Strengthening Oil,Men,899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1156339/00kd4k__H-1156339_1.jpg,Man Matters,90

Beard Trimmer Pro,Men,1899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1084977/57pTEcgjI_-8904358600597_1.jpg,Philips,60
Rechargeable Beard Trimmer,Men,2499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1086680/rTuZJ7gqh9-1086680_1.jpg,Braun,45
Cordless Beard Trimmer,Men,2199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/906868/VE9901aJvE-8904006302781_1.jpg,Philips,55
All-in-One Grooming Trimmer,Men,3299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1152500/JeicBbkT21-1152500_1.jpg,Philips,30
Professional Grooming Trimmer,Men,2999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1020668/d-CXG4B4DM-1020668_1.jpg,Braun,35

Beard Grooming Combo Kit,Men,1599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/beardo/COMBO_231013105229-BGQ/0/vJGW5VJHBc-9340321_1.jpeg,Beardo,50
Beard Comb & Styling Tool,Men,499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/babila/1018064/0/CNE-QysmV2-YfparjT_F8Y-1018064_1.jpg,Babila,75
Natural Beard Oil,Men,649,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1041771/X2Sz3DS5SW-1041771-1.jpg,Biotique,140
Premium Beard Serum,Men,1299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/g_j7id176C2-1186457_1.jpg,Beardo,60
Beard & Moustache Oil Pro,Men,999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1170451/4yy4MYd9LA-1170451_1.jpg,The Man Company,75
Heritage Beard Oil,Men,1099,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1115206/pARNktv9BD-1115206-1.jpg,Ustraa,80


name,category,price,image,brand,stock
Hair Multistyler Collection Banner,Tools,0,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/platform/extensions/widget-manager/free/resize-w:494/1aDugZig4-Multisylers-HPLP-Collection-tile-Desktop.jpg,Tira,999
Hair Styling Multistyler Tool,Tools,4999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1149973/vpN9EgyOu7-1149973_1.jpg,Philips,40
Automatic Hair Curler,Tools,5999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1066278/lLQtg1h3n-1066278-1.jpg,Philips,35
Professional Hair Straightener,Tools,4499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1136773/Y6Bwj6LRPA-1136773_1.jpg,Ikonic,50
Hair Styling Straightener Pro,Tools,3999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1148802/bAYkpK53S-1148802_1.jpg,Ikonic,45
Hair Dryer Compact,Tools,3299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/Ws-W7nYuug-1011554_1.jpg,Philips,60
Hair Styling Brush Dryer,Tools,3499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/yId2w01tju-1023313_1.jpg,Philips,55
Hair Crimper Straightener Curler Set,Tools,4599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/tnR0gQron-Philips-Hair-Styling-Set-Crimp-Straighten-Or-Curl-With-The-Single-Tool-BHH816/00-Black-Purple.jpeg,Philips,30
Hair Curling Tong,Tools,2899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1178139/IZIgbRObnu-1178139_1.jpg,Alan Truman,70
Hair Curling Wand Pro,Tools,3199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1178214/uhU1B_aaQS-1178214_1.jpg,Alan Truman,65
Brushes & Combs Collection Banner,Tools,0,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/platform/extensions/widget-manager/free/resize-w:394/q1Jau4vfS-Brushes-and-Combs-HPLP-Collection-tile-Desktop.jpg,Tira,999
Round Hair Brush,Tools,599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1146384/B4rp8GH2JR-1146384_1.jpg,Roots,120
Detangling Hair Brush,Tools,499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/7DjzvURDm-1182209_1.jpg,Alan Truman,140
Wooden Hair Comb,Tools,299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1102090/jZwVmv0l_2-1102090_1.jpg,Neem Wood,180
Professional Paddle Brush,Tools,699,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1LQrQnSQ-0-1121076_1.jpg,Ikonic,100
Hair Styling Straightener Classic,Tools,3799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1149973/vpN9EgyOu7-1149973_1.jpg,Philips,40
Professional Hair Straightener Elite,Tools,4299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/1136773/Y6Bwj6LRPA-1136773_1.jpg,Ikonic,50
Compact Hair Dryer,Tools,3199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:1160/Ws-W7nYuug-1011554_1.jpg,Philips,60
Gua Sha Facial Tool Banner,Tools,0,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/platform/extensions/widget-manager/free/resize-w:394/-R6Cebd-p-Guasha-Tool-HPLP-Collection-tile-Desktop.jpg,Tira,999
